;comment;date
64;"La comida está muy buena.
El problema es que iba sin móvil, pues los tres días que tengo de vacaciones me gusta no estar con el móvil también.
Y pedí una carta en papel y me dijeron que tenía que mirar el código QR en el móvil, entonces le pedí al camarero que me recomendara o contara algún plato y me dijo que hay muchos, y que solo tienen para mirar en el móvil y no me dijo ni un plato, ni puso ningún interés en facilitar para que me quedara a comer. Aún así teníamos hambre así que optamos por comer.
Pero esto de que no haya carta en papel me parece algo incómodo e impositivo, para quienes podemos querer elegir por desconectar de estar con el móvil, cuando podemos, que son los días de vacaciones.
Y la respuesta del camarero y su falta de comprensión fue muy curiosa e innecesaria al tratarse del trato a los clientes.
Pero nuestra actitud y deseos de comer bien y disfrutar estaban por encima de estas sandeces.

*Ojalá esta reseña sirva para contemplar que hay personas que no tienen por que tener móvil, o no tienen porque quererlo llevar hasta a comer en la playa, o les hace mal por salud, o sencillamente no tienen ni idea de usar el móvil para elegir un plato para comer.
Me viene la imagen de la mesa de al lado, donde estaban sentada una mujer en silla de ruedas y dificultad de movilidad con las manos e invalidez en las piernas, gracias a que iba con un compañero que miró el famoso código en el móvil pata elegir la comida, pues ella NO PODÍA, ¿qué hace esa persona si va a comer sola? ¿y qué hace mi abuela por ejemplo sin ir más lejos? ¿se queda sin comer?, esto se lo planteé al camarero y me dijo que yo no tenía 80 años y que él podía dejarme un móvil... sin comentarios.
Ojalá consideren tener cartas de papel para situaciones en las que se precisan, para que nadie se quede sin poder ir a su restaurante y que se vaya con tan buen sabor de boca por la situación como por la rica comida que preparan.
GRACIAS POR LA ATENCIÓN Y LA COMIDA";2023-08-28
65;Sé que la comida está bien pero hay que ir connn muuuucho tiempo tanto para que te den mesa como para que sirvan (son varios ls que me lo han dicho .hace poco fui mi experiencia es que he ido muchassss veces pero ya no insisto  ,nunca me han atendido una de tantas  a las 14:30 y otra que llegue Justo a la hora de comer a hondarribia pedimos mesa 15:00 y cocinas cerradas y vimos alguna mesa vacía no me había pasado nunca que no me atendiesen aunque sea de algo mínimo un pintxo o algo así que tengo que decir que mal una va allí a pasar buen día y comer algo a la playa en fin;2023-08-28
66;Nos han dicho que no nos podiamos sentar si no habiamos pedido antes que limpiaran la mesa, cosa que nos ha parecido una leccion gratuita. El sitio es bonito y la comida buena, pero el trato nos ha parecido antipático.;2023-10-28
67;La comida estaba bien... de cantidad regular. Pero el servicio fatal, lentos, poca empatía, poco organizados... todos en terraza. No volvería.;2023-10-28
68;"⭐️⭐️⭐️⭐️⭐️
El mejor desayuno que he tenido en mucho tiempo, riquísimo 😋

Zumo de naranja
Té de ortiga
Tostada de aguacate con huevo y mozzarella

Sin duda volveré a repetir este menú de desayuno la próxima vez";2022-01-28
69;Es el único restaurante vegetariano de la zona de gran calidad y mucha variedad con comidas comidas muy diferentes a lo acostumbrado. Se paga pero se come bien.;2022-01-28
70;"Hemos ido en el puente de Mayo
Es la segunda vez que vamos.
La primera vez,fue genial la comida rica y el servicio bien.
Esta segunda vez,ha sido todo muy lento, entre plato y plato más de media hora de espera, la comida también rica
Aunque las patatas bravas estaban un poco pasadas
Se nos ha hecho eterna la comida hoy.
Venimos de puente y vacaciones siempre por esta zona.
La próxima comida buscaré más opciones";2023-05-28
71;Me ha encantado! Platos riquísimos, buenas cantidades, muy buena calidad precio. Repetiré!;2023-12-28
72;El sitio es estupendo aunque son pocas mesas,lo que comimos estaba muy bueno,el brownie con nueces y helado de avellanas impresionante!!!;2022-01-28
73;"Muy buena opción para comida vegetariana.
Muy buen servicio. Los camareros muy amables.
Muy buena ubicación.
Recomendable 100%. 👌…";2022-01-28
